placeDcid,placeName,Date:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Value:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Source:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Date:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Value:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Source:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Date:Percent_Person_Obesity,Value:Percent_Person_Obesity,Source:Percent_Person_Obesity,Date:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit
geoId/01001,Autauga County,2020,9465,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,2039,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.5,https://www.cdc.gov/places/index.html,2018,1483414000,https://www.bea.gov/,2020,23697,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/17159,Richland County,2020,2052,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,398,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,34.3,https://www.cdc.gov/places/index.html,2018,962210000,https://www.bea.gov/,2020,7525,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/27035,Crow Wing County,2020,7021,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1242,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,30.3,https://www.cdc.gov/places/index.html,2018,2495344000,https://www.bea.gov/,2020,42326,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/38049,McHenry County,2020,383,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,176,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,36.9,https://www.cdc.gov/places/index.html,2018,278859000,https://www.bea.gov/,2020,3163,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/39171,Williams County,2020,4637,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1598,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.7,https://www.cdc.gov/places/index.html,2018,1603752000,https://www.bea.gov/,2020,16652,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/55015,Calumet County,2020,3657,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,622,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,31.8,https://www.cdc.gov/places/index.html,2018,1561000000,https://www.bea.gov/,2020,20942,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2020,7094,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1728,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,39.1,https://www.cdc.gov/places/index.html,2018,1941217000,https://www.bea.gov/,2020,16985,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01073,Jefferson County,2020,144623,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,20855,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,34.6,https://www.cdc.gov/places/index.html,2018,41774355000,https://www.bea.gov/,2020,308825,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05015,Carroll County,2020,3470,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1350,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35,https://www.cdc.gov/places/index.html,2018,788311000,https://www.bea.gov/,2020,13764,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/13315,Wilcox County,2020,1493,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,474,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.3,https://www.cdc.gov/places/index.html,2018,147790000,https://www.bea.gov/,2020,3523,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
